year,k,cv_auc_mean,cv_auc_std,cv_pr_auc_mean,cv_pr_auc_std,aic,bic,pseudo_r2_mcfadden,n_obs,n_cases,n_encoded_features,n_continuous,n_binary,n_onehot,n_target_encoded,converged,runtime_seconds,variables
2019,1,0.7190426670560252,0.004655628297373282,0.003357885081655583,0.00010780454455534407,40538.16510757666,40563.10936477632,0.02289424514720373,1928260,2746,1,1,0,0,0,True,4.6,I10_NPR
2019,2,0.7184574210362799,0.005680673939304569,0.0036529153251666736,0.0001325912405010649,40460.156948566306,40497.5733343658,0.024822900453084884,1928260,2746,2,2,0,0,0,True,5.0,"I10_NPR, I10_NDX"
2019,3,0.843251434143864,0.008532034093543072,0.008757530018504111,0.00030968719149027427,36945.05772680216,36994.94624120149,0.10960515465403975,1928260,2746,3,3,0,0,0,True,6.5,"I10_NPR, I10_NDX, AGE"
2019,4,0.8467173333550425,0.008465370390616341,0.008676360016274424,0.0003603918194759558,36946.64067031575,37009.00131331491,0.10961520810627912,1928260,2746,4,4,0,0,0,True,8.9,"I10_NPR, I10_NDX, AGE, LOS"
2019,5,0.9196135432359973,0.0016813681819856055,0.013669406556633817,0.0006292081397710707,33151.67087945614,33276.39216545447,0.20133679333747512,1928260,2746,9,4,0,1,0,True,16.4,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE"
2019,6,0.9220734166609617,0.002072912024685679,0.014066814060861499,0.0005901347970962617,32959.316875943674,33108.98241914166,0.20607005048761573,1928260,2746,11,4,0,2,0,True,17.5,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC"
2019,7,0.9253614666722744,0.002119150392763251,0.016278838093174954,0.0006568300404564592,32576.09631972437,32738.23399152219,0.2153560742991465,1928260,2746,12,4,1,2,0,True,20.6,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE"
2019,8,0.9263141059396875,0.0019197729512770998,0.017111380128695324,0.0005381940912709457,32415.84137067618,32590.45117107383,0.21926734875237808,1928260,2746,13,4,2,2,0,True,30.4,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE"
2019,9,0.9287826314298666,0.0019553908951026747,0.017716072911476997,0.000592756755832616,32228.39743390417,32502.784263100482,0.22417151393950507,1928260,2746,21,4,2,3,0,True,38.1,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1"
2019,10,0.9287297630400874,0.0019514364207367178,0.017712815322275047,0.0005779143823758854,32229.57811434798,32516.437072144123,0.22419126423783475,1928260,2746,22,4,3,3,0,True,45.4,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1, HCUP_ED"
2019,11,0.9287622335998339,0.0019548207841377993,0.017758070608060207,0.00057870152766207,32223.43858243208,32522.769668828056,0.22438747361961742,1928260,2746,23,4,4,3,0,True,40.6,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND"
2019,12,0.9291436321361892,0.0019229192009434172,0.01778482489804917,0.0005835550676200704,32208.231704453767,32582.395562448735,0.22504331535149058,1928260,2746,29,4,4,4,0,True,41.4,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL"
2019,13,0.9291778863319513,0.0019268839008395168,0.01783765435094278,0.00057975771098024,32206.67952193285,32593.315508527652,0.22512894331432798,1928260,2746,30,4,5,4,0,True,38.7,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL, TRAN_IN"
2019,14,0.9290382794832459,0.00215220926418944,0.017739178592955818,0.0005534247990961912,32222.50863707465,32771.282295467274,0.22537411994743528,1928260,2746,43,4,5,5,0,True,53.7,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL, TRAN_IN, AMONTH"
2019,15,0.9290329646571103,0.002071980744371862,0.017722659664717956,0.0005606500840500718,32226.330062829373,32837.46436422116,0.22552305900750536,1928260,2746,48,4,5,6,0,True,58.1,"I10_NPR, I10_NDX, AGE, LOS, I10_SERVICELINE, PCLASS_ORPROC, ELECTIVE, FEMALE, PAY1, HCUP_ED, AWEEKEND, ZIPINC_QRTL, TRAN_IN, AMONTH, DQTR"
